username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list
garayf,unal1,IH-Project-2017-garayf_webapp_phase3,Wed Nov 15 19:18:47 2017,0,2,"New York City Art Galleries, New York City Museums, ",1,1,1,0,0,0,1,1,"jquery,bootstrap,"
jaleonro,unal1,IH-Project-2017-jaleonro_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,1,1,1,0,0,1,1,"jquery,bootstrap,"
facuellarg,unal1,IH-Project-2017-facuellarg_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,1,1,1,0,0,1,1,"jquery,bootstrap,"
Caadiazsi,unal1,IH-Project-2017-Caadiazsi_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
sebcamacho1703,unal1,IH-Project-2017-sebcamacho1703_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"Required Weather API, New York City Museums, ",1,1,1,1,0,0,1,1,"jquery,bootstrap,"
xFortich,unal1,IH-Project-2017-xFortich_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"New York City Art Galleries, Zillow Home Value Searching API, New York City Museums, ",1,1,1,0,1,1,1,1,"jquery,bootstrap,animate,"
Gusgal03,unal1,IH-Project-2017-Gusgal03_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
Juankmilo97,unal1,IH-Project-2017-Juankmilo97_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,1,1,0,0,0,1,1,"jquery,bootstrap,"
alebautis,unal1,IH-Project-2017-alebautis_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
sarguellesr,unal1,IH-Project-2017-sarguellesr_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
davideperdomo,unal1,IH-Project-2017-davideperdomo_webapp_phase3,Wed Nov 15 19:18:47 2017,1,4,"Required Weather API, Neighborhood Tabulation Areas, Air Quality, Bank-Owned ATM Locations in New York State, ",0,1,1,0,1,1,1,1,"jquery,d3,bootstrap,"
JamerMejiaGarcia,unal1,IH-Project-2017-JamerMejiaGarcia_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,
